,barkhane,ouattara,gbagbo,chengriha,ahmed,itno,ndayishimiye,deby,washington,kabila,dembele,tshisekedi,tebboun,ibk,touadera,djotodia,dicko,barry,guelleh,ali,pr,sidibe,biya,tchadien,akufoaddo,burton,guen,haftar,bechir,kadhafi,walton,hammer,diaw,ansarallah,macron,conde,ministre,kabore,kobine,layama,sales,biden,trump,bedie,soro,bongo,prophete,opex,cisse,wattao,compaore,vizy,mahoney,lecointre,miningou,doumbia,muharram,ngomo,poutine,pompeo,hamdok,nasrallah,koufa,asaf,nagy,keita,bgold,esper,wagner,pham,petronin,perenco,pigne,mohammad,issoufou,maryam,camara,diallo,ouane,mnangagwa,mugabe,coulibaly,kafolo,sanogo,nkurunziza,lemoyne,kamto,buhari,cavusoglu,huberson,townsend,boumzar,sinohydro,beko,saab,bozize,burkhard,guterres,vircoulon,nguesso,kahimbi,tshibala,netanyahu,kouranov,toure,miski,nette,sangare,chahed,sivillon,biche,brantex,toufik,bemba,sonangol,juba,bouteflika,kagame,ilunga,zakzaky,nyusi,mumin,siewe,arafat,mandy,maio,chang,assoumani,spacecom,monsieur,ondimba,lavrov,mekonnen,white,brou,midal,sassou,amadou,machar,ekema,pona,jinping,kazagui,palma,gaulle,monusco,lacroix,mahamat,doumbouya,bazoum,mboso,assomo,loiseau,fillon,alsahraoui,rajoelina,museveni,sarkozy,austin,diarra,covid,blair,sidati,francois,khatibzadeh,jin,salmane,orban,dondra,shekau,kazemi
barkhane,200,11,6,0,3,3,3,9,17,7,1,6,0,7,8,2,10,9,2,10,0,1,5,2,0,0,1,0,1,0,2,1,10,0,19,14,1,6,1,2,0,7,4,5,1,4,1,4,0,1,2,0,1,4,2,2,0,1,1,0,0,0,6,1,2,3,0,0,2,3,1,0,0,0,2,0,0,2,4,1,1,0,1,0,1,0,2,0,0,1,1,0,0,0,2,14,1,0,0,2,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,2,3,0,1,5,0,0,0,1,2,1,1,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,3,0,0,2,2,1,3,0,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
ouattara,8,41,13,0,1,0,0,0,2,3,1,3,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,4,1,1,0,0,0,0,1,2,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ahmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washington,18,4,0,0,4,2,3,2,66,10,2,5,0,0,1,0,1,2,0,2,0,0,5,0,0,0,1,0,0,0,2,1,2,0,9,4,3,0,0,1,3,12,7,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,2,0,0,2,0,2,0,0,0,2,6,1,0,0,1,0,1,0,0,1,2,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
tshisekedi,2,1,0,0,2,0,0,3,1,15,0,32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
touadera,8,0,1,0,1,0,0,1,0,0,0,1,0,0,26,1,3,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biya,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macron,10,4,0,0,4,0,0,0,4,0,2,1,0,2,2,0,2,3,0,3,0,0,2,0,0,0,0,1,1,2,0,0,3,0,60,2,2,3,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,2,0,0
conde,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
